AÑO JUDICIAL;"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";FUENTE LIBRO
1911;***;La ejecutoria que ordena la restitución de un terreno en que se ha construido obras de ajena propiedad, no puede reflejarse de cumplirse, por el hecho de no haberse seguido juicio previo acerca de la adjudicación de lo edificado.;Anales Judiciales de la Corte Suprema de Justicia 1911
1911;***;La investigación sumaria practicada por el juez militar, por la cual se declara no haber mérito para el enjuiciamiento, no impide que se instruya por el juez común el sumario correspondiente;Anales Judiciales de la Corte Suprema de Justicia 1911
1911;***;Se declara fundada la querella de despojo interpuesta contra el Supremo Gobierno, por haber éste revisado una resolución del delegado de minería, cuyo conocimiento, por ser el asunto contencioso, correspondía a los tribunales de justicia.;Anales Judiciales de la Corte Suprema de Justicia 1911
1912;***;En los juicios seguidos por falsedad de notificaciones, el término para la prescripción se cuenta desde la fecha del auto que declaró falsa la diligencia.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Está expedita la acción criminal contra el administrador de un inmueble, sin que preceda el juicio civil sobre cuentas.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;En los juicios sobre consolidación del dominio enfitéutico de bienes de cofradías, es innecesaria la citación de éstas, bastando la que se hace a la respectiva Sociedad de Beneficencia.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No habiéndose terminado la donación de un testamento en escritura pública, procede la declaración del intestado del otorgante.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;En los juicios sobre posesión de un inmueble, el dueño de éste puede en cualquier momento apersonarse en la causa, aún cuando no hubiere sido citado.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Los laudos de las Cámaras de Comercio tienen fuerza ejecutiva.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El artículo 299 del Código de Justicia Militar sobre inutilización voluntaria para el servicio, no comprende a los que son aprehendidos para su enrolamiento en el ejército.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;En el juicio ordinario de deslinde, la apreciación del dictamen del perito tercero dirimente, así como la de la tacha de error esencial contra él deducida, debe hacerse en la sentencia.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Falta de personería en el albacea para continuar los juicios promovidos contra el testador.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No constituye delito el daño causado en el primer momento, a quien se introduce clandestinamente a deshoras en una casa.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Aplicación prudencial de la pena al autor de un homicidio que procedió en propia defensa sin que concurriesen todos los requisitos que la ley prescribe para reputarla legítima;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Cuando hay oposición de la junta de acreedores a la entrega de identidades, debe seguirse el juicio en la vía ordinaria;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La denuncia de terrenos hecha ante la autoridad administrativa no constituye perturbación, ni da por tanto mérito para el interdicto de amparo;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El reconocimiento de hijos naturales hecho con posterioridad al día en que se sentaron las partidas de bautismo, se reputa válido si consta por acta especial extendida en el mismo libro donde corren las partidas;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Depósito necesario;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No procede la acción criminal para la entrega de un libro de cuentas de una sociedad, cuya ocultación se imputa a uno de los socios;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Corresponde a los jueces del crimen el juzgamiento de los delitos que cometan los funcionarios electorales provinciales;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Responsabilidad de una Empresa Ferroviaria por carga extraviada;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No vincula bienes el testador que dispone que con el producto de ellos se establezcan escuelas;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La reaceptación de una letra después de vencido el término del protesto, no enerva su mérito ejecutivo;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Si el juez de Primera Instancia sobresee en el conocimiento de una causa, por razón de la entidad, no puede la Corte Superior librar mandamiento de prisión contra el enjuiciado;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No es forzoso que las partes entreguen personalmente sus escritos al actuario;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Prescripción de inmuebles;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El pacto de no recibir escrito alguno al vencido en un arbitraje, sin el previo abono de una multa convenida, en la que se incurre por contradecir el laudo, no es infractorio de las leyes y tiene fuerza obligatoria;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;En las ventas indebidamente ejecutadas por los empleados de comercio, no hay derecho de recuperar los objetos vendidos, sino de exigir su valor, con intereses legales;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El apoderado sin poder especial para interponer recursos extraordinarios, no puede formular el de nulidad ante el Tribunal Supremo;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La existencia de un derecho anticrético no impide que se ministre, sin perjuicio de él, posesión al adquirente del inmueble sobre que está constituido;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El término para que prescriba el derecho de exigir ejecutivamente el pago de una letra protestada, no se interrumpe durante el periodo de las vacaciones judiciales;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Es improcedente el recurso de nulidad contra el auto en que se hace la calificación de la quiebra;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Cuando se trata de acción y responsabilidad que el último comprador exige de su vendedor directo, no procede la citación de evicción al anterior vendedor;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No constituye delito de falso testinanio la falsa declaración prestada ante la autoridad política;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Apreciación de la culpabilidad de un reo de homicidio por imprudencia temeraria y reduleción de la pena, conforme al artículo 60 del Código Penal.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;En los contratos de fletamento, no es absoluta la regla en virtud de la cual deben regirse por lo que resulte del conocimiento, los derechos y obligaciones del naviero, del capitán y del fletador;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La ejecución contra el aceptante de una letra no interrumpe la prescripción de la acción contra el girador;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Para que el protesto de los cheques produzca mérito ejecutivo, es indispensable, que se haga dentro del término fijado en el artículo 526 del Código de Comercio.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Las heridas que no son necesariamente mortales, no constituyen delito de homicidio, aún cuando con ocasión de ellas sobrevenga la muerte;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Conforme a los principios generales que rigen el corretaje común, no se debe falsa comisión por razón de un contrato celebrado sin asistencia del corredor y en que no ha mediado dolo;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La ley de responsabilidad por accidentes del trabajo, no tiene fuerza ni efecto retroactivo;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Los contratos sobre prestación de servicios se rigen por la ley del lugar donde haya de producirse sus efectos, aún cuando se hubiese estipulado lo contrario;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Interpretación de una cláusula penal de un documento de mútuo;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No caducan ni se anulan las pólizas de seguro de vida por la falta del pago de los premios, si esa falta es imputable a la Compañía aseguradora;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No basta a probar la filiación legítima, la declaración judicial prestada por el padre;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El locador no puede arbitrariamente alzar el arrendamiento al inquilino notificado de desahucio.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Al intervenir como auxiliares ilustrativos, los señores fiscales carecen de personería para interponer recurso de nulidad;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El término para las pujas comienza a correr desde el día en que se efectuó el remate;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Al rehacerse un expediente, si no existe copia del escrito extraviado en poder de quién lo suscribió, puede compelerse a este para que presente un texto de dicho escrito que supla el original;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La religiosa a cargo de un hospital público tiene calidad de superiora para los agentes de policía puestos al servicio del establecimiento;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Está expedito el enjuiciamiento criminal de los registradores de la Propiedad Inmueble, a quienes se imputa falsedades en la inscripción, sin que sea necesario previamente el juicio civil sobre nulidad de esta;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La prescripción deducida en la Corte Suprema por el encausado, a propósito de un artículo sobre objeto distinto, debe ejercitarse en primera instancia;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Procede el recurso de nulidad respecto de las resoluciones de vista que declaran la insubsistencia del fallo de primera instancia;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No apareja ejecución contra una sociedad, la letra aceptada por su administrador, con omisión de las formalidades establecidas por los socios;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Cuando la tercería excluyente se funda en instrumento contra el cual existen presunciones de falsedad, se sigue la causa por la vía ordinaria;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Responsabilidad de una empresa de transporte marítimo por mercaderías que fueron sustraídas de sus lanchas;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La acción de defraudación, por haberse dado en pago un cheque girado al descubierto, no está subordinada al protesto de este;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Por causa de pobreza de la madre, recae sobre el padre la obligación de alimentar a su hijo adulterino;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Siendo el reo mayor de edad, sólo él o su personero legalmente acreditado, puede interponer en nombre suyo el recurso extraordinario;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El albacea no puede hipotecar los bienes de la testamentaría;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Las excepciones dilatorias no se sustancian en cuerda separada;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Inaplicabilidad del procedimiento estatuído en el nuevo Código, a un interdicto de despojo judicial, por razón del estado de la causa;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Condena de una autoridad política, conforme a la ley de HABEAS CORPUS;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Improcedencia del recurso extraordinario de nulidad, por razón de la cuantía;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Conforme a la nueva ley procesal los jueces deben limitarse, en su caso, a denegar la ejecución, sin ordinarizar el juicio;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La prescripción de la acción penal, para el procesado ausente, corre desde que se reserva el sumario, no desde que se libra mándamiento de prisión;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Para resolver acerca de las incompatibilidades de los Registradores de la Propiedad Inmueble es indispensable el informe de la Junta de Vigilancia;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;El reconocimiento de deuda, hecho en testamento, es revocable por acto posterior.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Los servicios extraordinarios de un abogado deben ser remunerados y apreciados por peritos.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Procede la absolución de posiciones de los miembros del Directorio de la compañía que litiga.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Durante la indivisión, no procede la intervención, sino el depósito, aunque se trate de bienes rústicos.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No procede el pago de intereses legales, si no han sido demandados.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;La lesión que produce incapacidad para el trabajo por menos de cuatro días, no constituye delito, sino falta.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;No favorecen al porteador, las declaraciones de irresponsabilidad que haga por medio de circulares dirigidas al comercio.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Prelación de un crédito inscrito en el Registro de la Propiedad Inmueble, sobre otro que no lo estuvo.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Mientras subsista la comunidad, tiene lugar el retracto de la cosa común vendida a un extraño.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Al autor de violación frustrada y lesiones cometidas en agravio de una púber, se le impone pena en juicio seguido de oficio.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Las leyes de carácter excepcional o privilegiado se aplican restrictivamente.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Las excepciones deducidas en segunda instancia se resuelven junto con la acción.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Hay despojo en la resolución gubernativa que manda reservar el cumplimiento de una ejecutoria sobre validez de un denuncio, hasta que el Congreso aclare el sentido de una ley.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Basta para la absolución del reo menor de quince años, la duda acerca de su discernimiento.;Anales Judiciales de la Corte Suprema de Justicia 1912
1912;***;Las responsabilidades contra el socio administrador por la venta de los bienes de la sociedad, no dan mérito a la acción criminal.;Anales Judiciales de la Corte Suprema de Justicia 1912
1913;***;Inscrito un título de dominio en el Registro de la Propiedad Inmueble, no puede inscribirse otro de fecha anterior.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Es nulo el testamento cerrado en que sólo intervienen seis testigos.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Para juntar el tiempo de posesión del actual poseedor al del antecesor, en la prescripción ordinaria, es necesario que el segundo haya poseído también con justo título;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;El interdicto de adquirir debe aparejarse no sólo con el título de adquisición, sino con los de las anteriores.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;"El querellante que no interpuso recurso de apelación; puede interponer el de nulidad.";Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Legítima defensa.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Contrabando. Recibido el expediente administrativo procederá el juez del crimen a instruir el sumario expidiendo auto cabeza de proceso.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Nulidad de la transferencia de un inmueble enajenado con anterioridad por su cedente.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Caducidad de la eficacia ejecutiva de un cheque.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La liquidación practicada por el cajero de la Compañía Nacional de Recaudación, no es instrumento extendido o autorizado por funcionario o empleado público.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Los herederos del fallido pueden retraer los bienes de éste que fueran subastados.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La agresión con arma cortante, que no produce lesión, constituye amenaza.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Prescripción del derecho de montepío de las hermanas ilegítimas.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;"No corresponde al juez extranjero ordenar la ejecución en el Perú, de su propia sentencia; mucho menos tratándose de inmuebles radicados en el país.";Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Es heredero, aunque el testador lo designe como legatario, quien recibe el remanente del caudal sucesible a título universal.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;"El ""fiador y llano pagador"" sólo tiene calidad de simple cuando explícitamente no contrae mancomunidad.";Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Arrendamiento entre condóminos, y modo de ponerle término.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La competencia para conocer del procedimiento sobre declaración de herederos, se determina por el lugar donde el intestado tuvo su último domicilio o por el de la situación de la mayor parte de sus bienes.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La querella de despojo judicial no recibida, aún a prueba en el momento en que, entró en vigencia el nuevo código procesal, debe sustanciarse conforme a éste.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La paralización del juicio criminal por el extravío de los autos y mientras se rehace el expediente, no da lugar a la prescripción de la acción penal.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;El término señalado por el nuevo Código de Procedimientos Civiles, para el abandono de la instancia, es aplicable a las causas que hubiesen estado paralizadas antes de su promulgación.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;No tienen fuerza en el Perú las sentencias extranjeras que resuelven sobre asuntos relativos a bienes raíces situados en el territorio nacional.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La restitución de valores al portador, robados y dados en prenda mercantil, no se resuelve como incidente del juicio criminal, sino por medio de un juicio civil.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La prueba del cotejo, como subsidiaria del reconocimiento de documentos, procede en cualquier estado de la causa.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;En la demanda sobre interdicto de recobrar, iniciada contra el Supremo Gobierno, por la persona perjudicada, es parte el favorecido en la resolución gubernativa, originaria de la acción.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La pensión alimenticia asegurada con la hipoteca de un inmueble, excluye el embargo por razón de otro crédito.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La detención por menos de 24 horas, justificada por un desacato, no constituye abuso de autoridad.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Cuando el documento acompañado a la demanda, no presta mérito ejecutivo, el juez se limitará a declarar sin lugar la ejecución.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Acumulación de los diversos juicios ordinarios que se siguen sobre declaración de herederos de un mismo intestado.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;El subastador debe indemnizar el valor de la cosecha pendiente al arrendatario de hecho que encuentre en el fundo.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La excarcelación de un preso enfermo, sin las precauciones necesarias para evitar la fuga, constituye abuso de autoridad.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;En segunda instancia en los juicios criminales, procede la prueba que por extemporánea dejó de producirse en la instancia inferior.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Se reserva la causa en segunda instancia por haber fugado el reo después de vencido el término probatorio y antes del pronunciamiento de la sentencia de primera instancia.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Es procedente la querella en los juicios por delitos electorales.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Cuando el documento acompañado a la demanda no presta mérito ejecutivo, el juez se limitará a declarar sin lugar la ejecución.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;El denunciante que no ha asumido el carácter de acusador no es parte en el juicio y en consecuencia carece de personería para interponer los recursos legales.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;En los juicios de comiso interviene el Ministerio Fiscal, no sólo como auxiliar ilustrativo sino como parte, en representación del Fisco.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;No tiene acción por alimentos contra su esposo la mujer casada que inmotivadamente abandona la casa conyugal.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La supresión del trámite de citación de remate no impide que la protesta de oponerse a la ejecución formulada durante la vigencia del antiguo Código, surta los efectos de oposición en forma.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Las excepciones promovidas como meras en segunda instancia se resolverán en la sentencia.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;El juez que ha sido presentado como testigo para declarar en un proceso está impedido de conocer el mismo. El testigo excluye al magistrado.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;El denunciante que no ha asumido el carácter de acosador, no es parte en el juicio, y en consecuencia carece de personería para interponer los recursos legales.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Es infundada la excepción de prescripción interpuesta por el reo que ha quebrantado la sentencia si no ha trascurrido entre la fuga y la recaptura el tiempo que prescribe la pena.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;El interdicto de recobrar, planificado la desposesión, fue ordenado por un juez, dando margen a su enjuiciamiento por abuso de autoridad.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Para los efectos de la prescripción se reputa consumado el delito de falsificación de documentos en el momento en que se hace uso de ellos, en juicio o fuera de él.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Los directores de los colegios nacionales son sus representantes legales. En los procedimientos sobre consolidación de entidades, los peritos deben nombrarse conforme al nuevo Código de Procedimientos.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;No será válida la partición extrajudicial de bienes en que es partícipe un menor, si no es aprobada por el juez, en la forma establecida por el artículo 1716 del Código Civil.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Interpretación de las cláusulas de un testamento. Enfiteusis y usufructo.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Interpretación de la voluntad del testador sobre la forma de pago del legado consistente en entregas de mesadas de por vida.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Intervención de la mujer casada en las obligaciones cambiarias.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Graduación de la culpabilidad de un reo de homicidio y reducción de la pena conforme al artículo 60 del Código Penal.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Responsabilidad de las empresas industriales en los accidentes ocasionados por actos de empleados.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La calificación de la quiebra como fraudulenta, no releva de la instrucción del sumario en forma.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;No pueden pedirse recíprocamente confesión, los demandados que representan el mismo derecho.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La prueba de cotejo, como subsidiaria del reconocimiento de documentos, procede en cualquier estado de la causa.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Apreciación de los actos de perturbación en el interdicto de retener.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;La obligación de rendir cuentas no pasa a los herederos.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Las resoluciones finales en los expedientes de denuncia de minas que, según el Código de Minería pronunciaban los tribunales, producen el efecto de la cosa juzgada.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;No es reo ausente, para los efectos del procedimiento, el que se encuentra en el Panóptico cumpliendo su condena.;Anales Judiciales de la Corte Suprema de Justicia 1913
1913;***;Es nulo el procedimiento consistente en la sustanciación de una excepción extemporánea.;Anales Judiciales de la Corte Suprema de Justicia 1913
1914;***;Renunciados la apelación y demás recursos legales contra el laudo arbitral bajo el imperio del Código antiguo, es inadmisible la demanda de nulidad interpuesta ante un juez de 1a instancia.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El juicio sobre la propiedad no es el contradictorio del de posesión.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;En el bien afecto a pensiones alimenticias, se hace efectivo el derecho del alimentario por las actuales, con preferencia a su cesionario por las atrasadas.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;En los alquileres que deben pagarse adelantados, no se requiere que se venzan dos plazos y quince días para que proceda el desahucio.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;La ley sobre accidentes del trabajo favorece al operario, aunque no medie culpa en la Empresa a quien sirve.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El recurso de nulidad procede contra el auto que resuelve la excepción de competencia.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;La prueba testimonial no se puede actuar en forma de cartas.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;No procede la suspensión del remate de bienes embargados, si el título del tercerista se funda solamente en un embargo registrado.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;La prueba instrumental consistente en actuados judiciales, se puede ofrecer en cualquier estado de la causa.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Las letras protestadas por falta de aceptación y pago, no aparejan ejecución contra el girador si no se recaba también el protesto de éste.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Diferencia entre el delito de defraudación común y el ejecutado por empleados públicos.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Es fundada la inhibición del juez por razón de su enemistad con uno de los miembros de la sociedad colectiva que litiga.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;La viuda tiene acción de rendición de cuentas contra el depositario de la testamentaria de su esposo.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;No apareja ejecución el documento dado por reconocido en mérito de las rebeldías decretadas de oficio por el juez comisionado.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Caso de improcedencia del recurso de nulidad.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El poder para pleitos no debe extenderse ante juez distinto del de la causa.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El domicilio se halla constituido por el lugar en donde se ejerce un empleo por tiempo indefinido.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El defecto de los instrumentos respectivos, el derecho a la herencia puede comprobarse en juicio ordinario por otros medios que demuestren satisfactoriamente el parentesco.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;En el procedimiento sobre consolidación de enfiteusis, el pago de los honorarios de los peritos corresponde a ambas partes.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;No estando consentido el auto de prueba del despojo judicial promovido conforme al Código antiguo, debe aplicarse la sustanciación del nuevo.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Los puntos no resueltos expresamente por una ejecutoria, aunque hubiesen sido demandados, no dan lugar a la excepción de cosa juzgada.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El término del abandono, no espirado, según el Código nuevo, cuando éste entró en vigor, se computa conforme al mismo.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;No es mercantil el acto de beneficiar ganado por orden y cuenta del ganadero.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;La alzada no debe admitirse sino después de trascurrido el término de un día.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El plazo para la declaración de abandono sólo se considera vencido al día siguiente del en que termina.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;La prórroga de término se cuenta sin interrupción desde el día siguiente al en que espira el prorrogado.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Procede el interdicto de retener, aunque el perturbador acredite con título su derecho a poseer.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;La noche no constituye la sustracción en robo, sino cuando se le escogita deliberadamente para perpetrarla.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El interdicto de adquirir bienes reservados no procede sino cuando quien lo promueve tiene título de heredero de la persona de quien dichos bienes provienen.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Basta la imputación concreta de malversación de bienes cuya administración está sujeta á rendición de cuentas ante el Tribunal Mayor, para que, sin que haya de ser prévio tal exámen proceda el enjuiciamiento criminal del administrador;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El incidente en primera instancia sobre confesión, no puede continuar sustanciándose después del pronunciamiento de la sentencia;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Caso de desacumulación de acciones penales;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Los síndicos de los Monasterios tienen personería para comparecer en juicio.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El marido en representación de su esposa agraviada no puede acusar al hermano de ésta.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El cónyuge sobreviviente cuyo derecho a gananciales se halla sub-litis, no puede solicitar la administración de los bienes del esposo premuerto.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Las actuaciones practicadas para capturar al reo, con posterioridad al auto que manda reservar el sumario, no interrumpen el término para la prescripción.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;El Ministerio fiscal carece de acción para anular un contrato, por razón de simulación o menoscabo de los derechos de registro.;Anales Judiciales de la Corte Suprema de Justicia 1914
1914;***;Está expedita la acción de desahucio contra el que ha dejado de ser usufructuario, por los bienes que administró.;Anales Judiciales de la Corte Suprema de Justicia 1914
